age,amount,category,customer,fraud,gender,merchant,step,t_0|d,t_0|dw,t_1|d,t_1|dw,t_2|d,t_2|dw,t_3|d,t_3|dw,t_4|d,t_4|dw,t_5|d,t_5|dw,t_6|d,t_6|dw,t_7|d,t_7|dw,t_8|d,t_8|dw,t_9|d,t_9|dw,w|t_0,w|t_1,w|t_2,w|t_3,w|t_4,w|t_5,w|t_6,w|t_7,w|t_8,w|t_9
'5',57.79,'es_transportation','C2145933360',0,'F','M348934600',0,0.20394343,0.21448291838169095,0.26334184,0.2937046885490417,0.0051872134000000006,0.0,0.15516388,0.1563025414943695,0.1618356,0.16049587726593018,0.0,0.0,0.20017032,0.17501200735569,0.0,0.0,0.0,0.0,0.010357628,1.9455019355518743e-06,0.94165164,1.0,0.0,0.90252244,0.89106715,0.0,0.7826550999999999,0.0001583679,0.0001744541,0.00016849345000000002
'5',20.95,'es_transportation','C2145933360',0,'F','M348934600',1,0.20394343,0.21448291838169095,0.26334184,0.2937046885490417,0.0051872134000000006,0.0,0.15516388,0.1563025414943695,0.1618356,0.16049587726593018,0.0,0.0,0.20017032,0.17501200735569,0.0,0.0,0.0,0.0,0.010357628,1.9455019355518743e-06,0.94165164,1.0,0.0,0.90252244,0.89106715,0.0,0.7826550999999999,0.0001583679,0.0001744541,0.00016849345000000002
'5',10.89,'es_transportation','C2145933360',0,'F','M348934600',2,0.20394343,0.21448291838169095,0.26334184,0.2937046885490417,0.0051872134000000006,0.0,0.15516388,0.1563025414943695,0.1618356,0.16049587726593018,0.0,0.0,0.20017032,0.17501200735569,0.0,0.0,0.0,0.0,0.010357628,1.9455019355518743e-06,0.94165164,1.0,0.0,0.90252244,0.89106715,0.0,0.7826550999999999,0.0001583679,0.0001744541,0.00016849345000000002
'5',19.23,'es_transportation','C2145933360',0,'F','M348934600',3,0.20394343,0.21448291838169095,0.26334184,0.2937046885490417,0.0051872134000000006,0.0,0.15516388,0.1563025414943695,0.1618356,0.16049587726593018,0.0,0.0,0.20017032,0.17501200735569,0.0,0.0,0.0,0.0,0.010357628,1.9455019355518743e-06,0.94165164,1.0,0.0,0.90252244,0.89106715,0.0,0.7826550999999999,0.0001583679,0.0001744541,0.00016849345000000002
'5',32.14,'es_transportation','C2145933360',0,'F','M348934600',4,0.20394343,0.21448291838169095,0.26334184,0.2937046885490417,0.0051872134000000006,0.0,0.15516388,0.1563025414943695,0.1618356,0.16049587726593018,0.0,0.0,0.20017032,0.17501200735569,0.0,0.0,0.0,0.0,0.010357628,1.9455019355518743e-06,0.94165164,1.0,0.0,0.90252244,0.89106715,0.0,0.7826550999999999,0.0001583679,0.0001744541,0.00016849345000000002
'5',8.94,'es_transportation','C2145933360',0,'F','M348934600',5,0.20394343,0.21448291838169095,0.26334184,0.2937046885490417,0.0051872134000000006,0.0,0.15516388,0.1563025414943695,0.1618356,0.16049587726593018,0.0,0.0,0.20017032,0.17501200735569,0.0,0.0,0.0,0.0,0.010357628,1.9455019355518743e-06,0.94165164,1.0,0.0,0.90252244,0.89106715,0.0,0.7826550999999999,0.0001583679,0.0001744541,0.00016849345000000002
'5',17.18,'es_transportation','C2145933360',0,'F','M348934600',6,0.20394343,0.21448291838169095,0.26334184,0.2937046885490417,0.0051872134000000006,0.0,0.15516388,0.1563025414943695,0.1618356,0.16049587726593018,0.0,0.0,0.20017032,0.17501200735569,0.0,0.0,0.0,0.0,0.010357628,1.9455019355518743e-06,0.94165164,1.0,0.0,0.90252244,0.89106715,0.0,0.7826550999999999,0.0001583679,0.0001744541,0.00016849345000000002
'5',2.44,'es_transportation','C2145933360',0,'F','M348934600',7,0.20394343,0.21448291838169095,0.26334184,0.2937046885490417,0.0051872134000000006,0.0,0.15516388,0.1563025414943695,0.1618356,0.16049587726593018,0.0,0.0,0.20017032,0.17501200735569,0.0,0.0,0.0,0.0,0.010357628,1.9455019355518743e-06,0.94165164,1.0,0.0,0.90252244,0.89106715,0.0,0.7826550999999999,0.0001583679,0.0001744541,0.00016849345000000002
'5',0.74,'es_transportation','C2145933360',0,'F','M348934600',8,0.20394343,0.21448291838169095,0.26334184,0.2937046885490417,0.0051872134000000006,0.0,0.15516388,0.1563025414943695,0.1618356,0.16049587726593018,0.0,0.0,0.20017032,0.17501200735569,0.0,0.0,0.0,0.0,0.010357628,1.9455019355518743e-06,0.94165164,1.0,0.0,0.90252244,0.89106715,0.0,0.7826550999999999,0.0001583679,0.0001744541,0.00016849345000000002
'5',55.0,'es_transportation','C2145933360',0,'F','M348934600',9,0.20394343,0.21448291838169095,0.26334184,0.2937046885490417,0.0051872134000000006,0.0,0.15516388,0.1563025414943695,0.1618356,0.16049587726593018,0.0,0.0,0.20017032,0.17501200735569,0.0,0.0,0.0,0.0,0.010357628,1.9455019355518743e-06,0.94165164,1.0,0.0,0.90252244,0.89106715,0.0,0.7826550999999999,0.0001583679,0.0001744541,0.00016849345000000002
